engine,fee_mult,slippage_bps,delay_bars,leverage,mmr,funding_per_8h,total_trades,win_rate_pct,total_return_pct,max_drawdown_pct,final_equity,total_fees_paid,total_funding_paid,liquidations,results_path
futures,1.25,1.0,1,1.0,0.005,0.0001,164,78.04878048780488,204.79644375008456,-19.986345076507295,30479.644375008458,3909.0067282133573,-530.5952601682831,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p25_slip1bps_delay1_lev1_mmr0p005_fund0p0001\results.json
futures,1.25,1.0,2,1.0,0.005,0.0001,166,74.09638554216868,78.10358654191612,-22.506033296585713,17810.358654191612,2533.1527777981732,-229.1350324436916,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p25_slip1bps_delay2_lev1_mmr0p005_fund0p0001\results.json
futures,1.25,3.0,1,1.0,0.005,0.0001,164,78.04878048780488,193.4218654349951,-20.24241344706532,29342.186543499512,3827.8780498562596,-516.2777200706547,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p25_slip3bps_delay1_lev1_mmr0p005_fund0p0001\results.json
futures,1.25,3.0,2,1.0,0.005,0.0001,166,73.49397590361446,62.77593536738111,-22.728954166965764,16277.593536738112,2445.598263619283,-224.6022681114736,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p25_slip3bps_delay2_lev1_mmr0p005_fund0p0001\results.json
futures,1.25,5.0,1,1.0,0.005,0.0001,164,77.4390243902439,172.8880208663638,-20.497785431161088,27288.80208663638,3627.7417808793834,-485.65853679886453,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p25_slip5bps_delay1_lev1_mmr0p005_fund0p0001\results.json
futures,1.25,5.0,2,1.0,0.005,0.0001,166,72.89156626506023,50.47252257066652,-25.83341158084147,15047.252257066653,2349.11128227935,-215.75306468414428,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p25_slip5bps_delay2_lev1_mmr0p005_fund0p0001\results.json
futures,1.5,0.0,1,1.0,0.005,0.0001,164,78.04878048780488,198.90096472517982,-20.098171650626952,29890.096472517984,4637.891060910323,-522.9555606839651,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p5_slip0bps_delay1_lev1_mmr0p005_fund0p0001\results.json
futures,1.5,0.0,2,1.0,0.005,0.0001,166,74.09638554216868,74.74061165248204,-22.557903412038517,17474.061165248204,3008.5604818448523,-226.5492081395317,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p5_slip0bps_delay2_lev1_mmr0p005_fund0p0001\results.json
futures,1.5,1.0,1,1.0,0.005,0.0001,164,78.04878048780488,193.27039468238874,-20.2261276103717,29327.039468238872,4589.57239830621,-515.857188169651,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p5_slip1bps_delay1_lev1_mmr0p005_fund0p0001\results.json
futures,1.5,1.0,2,1.0,0.005,0.0001,166,74.09638554216868,71.25277758136843,-22.66935204396282,17125.277758136843,2976.5734148112183,-223.90702766992007,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p5_slip1bps_delay2_lev1_mmr0p005_fund0p0001\results.json
futures,1.5,3.0,1,1.0,0.005,0.0001,164,78.04878048780488,182.32205070344395,-20.48151744390093,28232.205070344393,4494.814128319576,-501.9821953818152,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p5_slip3bps_delay1_lev1_mmr0p005_fund0p0001\results.json
futures,1.5,3.0,2,1.0,0.005,0.0001,166,73.49397590361446,56.50955737149206,-22.89188347452167,15650.955737149206,2874.581252314098,-219.56331786803173,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p5_slip3bps_delay2_lev1_mmr0p005_fund0p0001\results.json
futures,1.5,5.0,1,1.0,0.005,0.0001,164,77.4390243902439,162.55806430803642,-20.736212477669312,26255.806430803645,4260.371835476119,-472.2555126628814,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p5_slip5bps_delay1_lev1_mmr0p005_fund0p0001\results.json
futures,1.5,5.0,2,1.0,0.005,0.0001,166,72.89156626506023,44.675643861597194,-25.990896566991417,14467.56438615972,2762.004361671243,-210.972376405344,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p5_slip5bps_delay2_lev1_mmr0p005_fund0p0001\results.json
futures,1.0,0.0,1,2.0,0.005,0.0001,164,78.04878048780488,829.6274068157624,-40.01147267113478,92962.74068157624,13383.674139361272,-2551.9123273570176,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip0bps_delay1_lev2_mmr0p005_fund0p0001\results.json
futures,1.0,0.0,2,2.0,0.005,0.0001,166,74.09638554216868,206.2850732466748,-41.41355360230615,30628.507324667484,5177.202839039987,-598.5190875472786,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip0bps_delay2_lev2_mmr0p005_fund0p0001\results.json
futures,1.0,1.0,1,2.0,0.005,0.0001,164,78.04878048780488,794.8406986546315,-40.21172383076731,89484.06986546316,13073.163088968091,-2478.2834431392994,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip1bps_delay1_lev2_mmr0p005_fund0p0001\results.json
futures,1.0,1.0,2,2.0,0.005,0.0001,166,74.09638554216868,194.079297860601,-41.590553036376264,29407.9297860601,5058.623924951148,-583.8350405400264,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip1bps_delay2_lev2_mmr0p005_fund0p0001\results.json
futures,1.0,3.0,1,2.0,0.005,0.0001,164,78.04878048780488,729.0899150298266,-40.610470488292094,82908.99150298267,12477.361749211937,-2337.8413269525126,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip3bps_delay1_lev2_mmr0p005_fund0p0001\results.json
futures,1.0,3.0,2,2.0,0.005,0.0001,166,73.49397590361446,145.2767243321913,-41.943245774602225,24527.67243321913,4683.848054205383,-546.3691468995969,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip3bps_delay2_lev2_mmr0p005_fund0p0001\results.json
