engine,fee_mult,slippage_bps,delay_bars,leverage,mmr,funding_per_8h,total_trades,win_rate_pct,total_return_pct,max_drawdown_pct,final_equity,total_fees_paid,total_funding_paid,liquidations,results_path
futures,1.5,1.0,2,1.0,0.005,-0.0001,166,74.09638554216868,65.36275256899376,-22.86842508312056,16536.275256899375,2927.74103925466,219.90229416880683,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p5_slip1bps_delay2_lev1_mmr0p005_fundm0p0001\results.json
futures,1.5,3.0,1,1.0,0.005,-0.0001,164,78.04878048780488,169.68272639330405,-21.142878172365144,26968.272639330407,4418.964200506267,490.9408376968625,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p5_slip3bps_delay1_lev1_mmr0p005_fundm0p0001\results.json
futures,1.5,3.0,2,1.0,0.005,-0.0001,166,73.49397590361446,51.010083476315216,-23.090497308700453,15101.008347631521,2827.0293307827797,215.61333206719837,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p5_slip3bps_delay2_lev1_mmr0p005_fundm0p0001\results.json
futures,1.5,5.0,1,1.0,0.005,-0.0001,164,77.4390243902439,150.79689210709182,-21.395786333671442,25079.68921070918,4189.052832086539,461.9128451006323,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p5_slip5bps_delay1_lev1_mmr0p005_fundm0p0001\results.json
futures,1.5,5.0,2,1.0,0.005,-0.0001,166,72.89156626506023,39.5635578227882,-26.181637233658016,13956.355782278819,2716.842931391689,207.21230547135954,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p5_slip5bps_delay2_lev1_mmr0p005_fundm0p0001\results.json
futures,1.0,0.0,1,2.0,0.005,-0.0001,164,78.04878048780488,748.3993914514134,-41.123178996248946,84839.93914514134,12867.01620020393,2431.55006892306,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip0bps_delay1_lev2_mmr0p005_fundm0p0001\results.json
futures,1.0,0.0,2,2.0,0.005,-0.0001,166,74.09638554216868,185.18515620412504,-41.737663160886854,28518.515620412505,4989.911702995229,575.6072037558239,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip0bps_delay2_lev2_mmr0p005_fundm0p0001\results.json
futures,1.0,1.0,1,2.0,0.005,-0.0001,164,78.04878048780488,716.6264461206534,-41.32021373817986,81662.64461206534,12571.272300420214,2361.7352245648326,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip1bps_delay1_lev2_mmr0p005_fundm0p0001\results.json
futures,1.0,1.0,2,2.0,0.005,-0.0001,166,74.09638554216868,173.8122340839878,-41.913850373928966,27381.22340839878,4876.81458341351,561.5939033404889,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip1bps_delay2_lev2_mmr0p005_fundm0p0001\results.json
futures,1.0,3.0,1,2.0,0.005,-0.0001,164,78.04878048780488,656.574816573095,-41.7125515734745,75657.4816573095,12003.682217887288,2228.554595858131,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip3bps_delay1_lev2_mmr0p005_fundm0p0001\results.json
futures,1.0,3.0,2,2.0,0.005,-0.0001,166,73.49397590361446,128.0168595236797,-42.26492342505963,22801.68595236797,4517.267206283984,525.7542690686093,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip3bps_delay2_lev2_mmr0p005_fundm0p0001\results.json
futures,1.0,5.0,1,2.0,0.005,-0.0001,164,77.4390243902439,554.1739613824083,-42.102590288759636,65417.39613824083,10722.74398458673,1964.6873270663548,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip5bps_delay1_lev2_mmr0p005_fundm0p0001\results.json
futures,1.0,5.0,2,2.0,0.005,-0.0001,166,72.89156626506023,94.590791803344,-46.832858754866656,19459.0791803344,4155.363657561813,481.689862451751,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip5bps_delay2_lev2_mmr0p005_fundm0p0001\results.json
futures,1.25,0.0,1,2.0,0.005,-0.0001,164,78.04878048780488,685.7327502620143,-41.482744906426326,78573.27502620143,15336.983177925365,2292.0848336473086,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p25_slip0bps_delay1_lev2_mmr0p005_fundm0p0001\results.json
futures,1.25,0.0,2,2.0,0.005,-0.0001,166,74.09638554216868,163.68256812008477,-41.99252737557326,26368.256812008476,5967.43378491665,548.8485920609038,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p25_slip0bps_delay2_lev2_mmr0p005_fundm0p0001\results.json
futures,1.25,1.0,1,2.0,0.005,-0.0001,164,78.04878048780488,656.2892046827035,-41.67869316164807,75628.92046827034,14987.462471590236,2226.5976090780696,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p25_slip1bps_delay1_lev2_mmr0p005_fundm0p0001\results.json
