entry_time,exit_time,type,signal_type,entry_price,exit_price,target_price,stop_loss,position,pnl,gross_pnl,entry_fee,exit_fee,total_fees,return,exit_reason
2021-01-11 17:30:00+00:00,2021-01-11 21:00:00+00:00,SHORT,downtrend_breakdown,2.7584722100000003,2.95708686,2.7033027658,2.9562,3441.7829063429276,-689.9495391988568,-683.5885073192823,5.9375,6.3610318795745515,12.29853187957455,-7.267168708852051,stop_loss
2021-01-22 00:30:00+00:00,2021-01-22 00:30:00+00:00,SHORT,downtrend_breakdown,2.81225607,2.75683775188458,2.7560109486,3.444,3141.0308221649993,168.65857509409383,174.07064531307978,5.524317070475679,5.412070218985956,10.936387289461635,1.9093316250000072,target
2021-02-16 19:00:00+00:00,2021-02-16 20:30:00+00:00,SHORT,downtrend_breakdown,8.22613142,8.064027274237478,8.0616087916,8.643,1092.647712628854,171.61576097771567,177.12272407507334,5.621178036177201,5.50696309735767,11.128141133534871,1.9093316250000172,target
2021-02-26 00:00:00+00:00,2021-02-26 00:30:00+00:00,SHORT,downtrend_breakdown,13.84474533,13.57192077852702,13.5678504234,16.2987,660.6015319429632,174.6247968686384,180.2283166547031,5.719737319798741,5.603519786064677,11.323257105863417,1.9093316250000076,target
2021-03-13 00:00:00+00:00,2021-03-13 00:00:00+00:00,SHORT,downtrend_breakdown,14.57522612,14.288006714079279,14.2837215976,15.3048,638.4957198558012,177.68659188227497,183.38836133990657,5.820024698905863,5.701769457631606,11.521794156537469,1.9093316250000096,target
2021-04-03 16:30:00+00:00,2021-04-03 17:30:00+00:00,SHORT,downtrend_breakdown,21.37988411,20.958572113728337,20.952286427799997,22.3316,442.9112261731719,180.80207107406716,186.60381287014857,5.922070473170989,5.801741796081416,11.723812269252406,1.909331625000009,target
2021-05-23 17:00:00+00:00,2021-05-23 17:00:00+00:00,SHORT,downtrend_breakdown,21.5215416,23.5030488,21.091110768,23.496,447.7106255330198,-893.7184309352955,-887.1418280101823,6.025905473527772,6.576602925113182,12.602508398640953,-9.275342085624569,stop_loss
2021-06-12 00:00:00+00:00,2021-06-12 00:00:00+00:00,SHORT,downtrend_breakdown,36.1461529,35.4338568109526,35.423229842,39.998,242.9359489535681,167.66222781023663,173.04232632864515,5.491682273785033,5.380098518408515,10.871780792193547,1.9093316249999974,target
2021-06-23 16:30:00+00:00,2021-06-23 17:00:00+00:00,SHORT,downtrend_breakdown,30.0899703,29.497017345268198,29.488170894,32.435,296.948305239121,170.60194417520927,176.07637499413823,5.5879710351973015,5.474430818928966,11.062401854126268,1.909331625000011,target
2021-07-12 19:00:00+00:00,2021-07-13 12:30:00+00:00,SHORT,downtrend_breakdown,30.2189316,29.6234373338904,29.614552968,31.677,300.86540130085024,173.59320424456305,179.16362134542027,5.685948081749184,5.570417100857203,11.256365182606388,1.9093316250000016,target
2021-08-25 00:30:00+00:00,2021-08-25 08:00:00+00:00,SHORT,downtrend_breakdown,70.45885600000001,69.07039378366402,69.04967888000002,75.807,131.29993454816056,176.63691176312835,182.3049981275101,5.785643015095855,5.668086364381726,11.453729379477581,1.9093316249999923,target
2021-10-11 21:30:00+00:00,2021-10-12 12:30:00+00:00,SHORT,downtrend_breakdown,141.247613,138.464187538222,138.42266074,149.878,66.64502318710393,179.73398632160223,185.50145443976993,5.8870859559149995,5.767468118167695,11.654554074082695,1.909331624999996,target
2021-11-12 15:30:00+00:00,2021-11-12 17:30:00+00:00,SHORT,downtrend_breakdown,223.3469758,229.35178489999998,218.880036284,229.283,42.88619419604603,-263.6709249143034,-257.5234091727839,5.990307553007125,6.147515741519485,12.13782329452661,-2.752736607935073,stop_loss
2021-11-18 16:00:00+00:00,2021-11-18 16:00:00+00:00,SHORT,downtrend_breakdown,196.96689220000002,193.0854626223068,193.02755435600002,207.489,47.33020668420347,177.99712985888226,183.70886414240027,5.830196196229659,5.711734283518015,11.541930479747673,1.9093316250000054,target
2021-12-04 00:00:00+00:00,2021-12-04 00:30:00+00:00,SHORT,downtrend_breakdown,211.50852840000002,207.3405413393496,207.278357832,239.473,44.84897205986083,181.11805388809336,186.92993522897143,5.93242031309186,5.8118813408780685,11.744301653969927,1.9093316250000016,target
2021-12-13 16:00:00+00:00,2021-12-13 19:00:00+00:00,SHORT,downtrend_breakdown,158.032576,154.91838605734398,154.87192448,166.0,61.077675631005334,184.29369883782803,190.20748317088385,6.036436783027016,5.913784333055823,11.950221116082838,1.9093316250000163,target
2021-12-28 19:30:00+00:00,2021-12-29 12:00:00+00:00,SHORT,downtrend_breakdown,177.836633,174.332184310102,174.27990034,191.65,55.22765927964299,187.52502416083152,193.54249820867793,6.142277032372054,6.017474047846398,12.159751080218452,1.9093316249999992,target
2022-01-05 22:30:00+00:00,2022-01-05 22:30:00+00:00,SHORT,downtrend_breakdown,149.805045,146.85298678323,146.8089441,169.34,66.7114174194123,190.81300613248555,196.93598794535023,6.2499730384795775,6.122981812864683,12.37295485134426,1.9093316250000083,target
2022-01-17 17:00:00+00:00,2022-01-17 21:00:00+00:00,SHORT,downtrend_breakdown,140.807745,138.03298757702999,137.9915901,143.6,72.21855719418879,194.15863814575044,200.38897765076075,6.359557339379144,6.230339505010306,12.58989684438945,1.9093316250000187,target
2022-01-22 15:30:00+00:00,2022-01-22 16:00:00+00:00,SHORT,downtrend_breakdown,94.721575,92.85499164305,92.8271435,101.61,109.23836313668852,197.5629310113049,203.90251057140344,6.471063043607928,6.339579560098546,12.810642603706473,1.9093316250000023,target
2022-02-08 20:00:00+00:00,2022-02-08 20:30:00+00:00,SHORT,downtrend_breakdown,110.74676600000001,113.223957,108.53183068000001,113.19,95.06962596543707,-242.23322134139408,-235.50562181494612,6.584523840213749,6.727599526447956,13.312123366661705,-2.300704630169508,stop_loss
2022-02-12 00:00:00+00:00,2022-02-12 06:30:00+00:00,SHORT,downtrend_breakdown,96.42106500000001,94.52099149311002,94.49264370000002,107.86,106.7445635257758,196.5165159217655,202.82251715986274,6.436788304012169,6.306001238097248,12.742789542109417,1.909331624999995,target
2022-02-12 15:30:00+00:00,2022-02-12 16:00:00+00:00,SHORT,downtrend_breakdown,94.07177,95.84874599999999,92.1903346,95.82,111.32869488385357,-204.49761629395078,-197.82841891992953,6.54964814228521,6.669197374021238,13.218845516306448,-1.9526383592548442,stop_loss
2022-02-17 20:00:00+00:00,2022-02-17 21:00:00+00:00,SHORT,downtrend_breakdown,94.831542,92.96279163334799,92.93491116,98.42,108.32385059828388,196.13643080264407,202.43023552270043,6.424338829026194,6.2938047200563645,12.718143549082559,1.9093316250000092,target
