entry_time,exit_time,type,signal_type,entry_price,exit_price,target_price,stop_loss,position,pnl,gross_pnl,entry_fee,exit_fee,total_fees,return,exit_reason
2021-01-11 17:30:00+00:00,2021-01-11 21:00:00+00:00,SHORT,downtrend_breakdown,2.7584722100000003,2.95708686,2.7033027658,2.9562,3441.352414422184,-691.1352888211038,-683.5030053171159,7.125,7.632283503987837,14.757283503987837,-7.280568729927486,stop_loss
2021-01-22 00:30:00+00:00,2021-01-22 00:30:00+00:00,SHORT,downtrend_breakdown,2.81225607,2.75683775188458,2.7560109486,3.444,3139.8368485255814,167.51246173302886,174.00447730210908,6.6274895442149635,6.492015569080221,13.119505113295183,1.897077950000007,target
2021-02-16 19:00:00+00:00,2021-02-16 20:30:00+00:00,SHORT,downtrend_breakdown,8.22613142,8.064027274237478,8.0616087916,8.643,1091.977610189022,170.4097947679253,177.014097691491,6.742120086899494,6.604302923565702,13.346423010465195,1.8970779500000172,target
2021-02-26 00:00:00+00:00,2021-02-26 00:30:00+00:00,SHORT,downtrend_breakdown,13.84474533,13.57192077852702,13.5678504234,16.2987,660.0424051889144,173.3572407235439,180.07577314881317,6.858733305109725,6.718532425269283,13.577265730379008,1.8970779500000072,target
2021-03-13 00:00:00+00:00,2021-03-13 00:00:00+00:00,SHORT,downtrend_breakdown,14.57522612,14.288006714079279,14.2837215976,15.3048,637.806500027196,176.35566636418181,183.1904040301858,6.9773634916453595,6.834737666003987,13.812101157649346,1.8970779500000097,target
2021-04-03 16:30:00+00:00,2021-04-03 17:30:00+00:00,SHORT,downtrend_breakdown,21.37988411,20.958572113728337,20.952286427799997,22.3316,442.32993105734283,179.4059534458813,186.35890626447565,7.0980455324420415,6.952952818594353,14.050998351036394,1.8970779500000086,target
2021-05-23 17:00:00+00:00,2021-05-23 17:00:00+00:00,SHORT,downtrend_breakdown,21.5215416,23.5030488,21.091110768,23.496,447.0187399365321,-893.6505791635976,-885.7708517191655,7.220814916830366,7.879727444432117,15.100542361262484,-9.288992971581548,stop_loss
2021-06-12 00:00:00+00:00,2021-06-12 00:00:00+00:00,SHORT,downtrend_breakdown,36.1461529,35.4338568109526,35.423229842,39.998,242.49735451142672,166.28545482023537,172.7299172228299,6.578944048548062,6.444462402594528,13.023406451142591,1.8970779499999975,target
2021-06-23 16:30:00+00:00,2021-06-23 17:00:00+00:00,SHORT,downtrend_breakdown,30.0899703,29.497017345268198,29.488170894,32.435,296.34305914750973,169.1615652689095,175.71749253577744,6.692734937472888,6.5559272668679505,13.248662204340839,1.8970779500000108,target
2021-07-12 19:00:00+00:00,2021-07-13 12:30:00+00:00,SHORT,downtrend_breakdown,30.2189316,29.6234373338904,29.614552968,31.677,300.18213741656456,172.08742156770373,178.75674162008838,6.808493979084037,6.669320052384657,13.477814031468695,1.8970779500000017,target
2021-08-25 00:30:00+00:00,2021-08-25 08:00:00+00:00,SHORT,downtrend_breakdown,70.45885600000001,69.07039378366402,69.04967888000002,75.807,130.97119683728963,175.063884131979,181.84855823688102,6.926255214990928,6.784674104902025,13.710929319892953,1.8970779499999928,target
2021-10-11 21:30:00+00:00,2021-10-12 12:30:00+00:00,SHORT,downtrend_breakdown,141.247613,138.464187538222,138.42266074,149.878,66.46265694781533,178.09182825903224,184.99385160596535,7.046053275594283,6.902023346933111,13.948076622527395,1.8970779499999961,target
