entry_time,exit_time,type,signal_type,entry_price,exit_price,qty,leverage,initial_margin_used,entry_fee,exit_fee,fees_total,pnl_gross,pnl_net,exit_reason
2021-01-11 17:00:00+00:00,2021-01-11 17:00:00+00:00,SHORT,downtrend_breakdown,2.67639684,2.62365576387096,7099.096709440144,2.0,9500.0,14.25,13.9691895,28.2191895,374.4140000000008,346.19481050000076,target
2021-01-22 00:00:00+00:00,2021-01-22 00:00:00+00:00,SHORT,downtrend_breakdown,2.98040561,2.92167373704934,6595.669419623056,2.0,9828.885069975,14.7433276049625,14.452795591179108,29.196123196141606,387.37601837785513,358.17989518171356,target
2021-02-16 18:30:00+00:00,2021-02-16 20:30:00+00:00,SHORT,downtrend_breakdown,8.20333826,8.041683276248442,2479.272620021798,2.0,10169.155970397629,15.253733955596443,14.953143874267464,30.206877829863906,400.7867751053085,370.5798972754446,target
2021-02-25 23:30:00+00:00,2021-02-25 23:30:00+00:00,SHORT,downtrend_breakdown,14.254122480000001,13.97323074240912,1476.233544025125,2.0,10521.206872809302,15.781810309213952,15.470813955260583,31.252624264474534,414.66180527116205,383.4091810066875,target
2021-03-12 23:30:00+00:00,2021-03-13 01:00:00+00:00,SHORT,downtrend_breakdown,14.53403848,14.24763071771312,1497.924422003547,2.0,10885.445594765655,16.328168392148484,16.006405505812808,32.33457389796129,429.01718178090323,396.68260788294197,target
2021-04-03 16:00:00+00:00,2021-04-03 18:00:00+00:00,SHORT,downtrend_breakdown,21.02778977,20.613416144792374,1071.181916448697,2.0,11262.294072254452,16.893441108381676,16.560538957899904,33.45398006628158,443.8695339756965,410.41555390941494,target
2021-05-23 16:30:00+00:00,2021-05-23 16:30:00+00:00,SHORT,downtrend_breakdown,20.5548317,20.1497781865198,1133.766407678093,2.0,11652.188848468395,17.478283272702594,17.133856222530714,34.61213949523331,459.2360668958376,424.6239274006043,target
2021-06-11 23:30:00+00:00,2021-06-12 00:00:00+00:00,SHORT,downtrend_breakdown,35.884231500000006,35.177096834061004,671.9152717259093,2.0,12055.581579498968,18.083372369248455,17.727021433340045,35.8103938025885,475.13458121121437,439.32418740862585,target
2021-06-23 16:00:00+00:00,2021-06-23 18:00:00+00:00,SHORT,downtrend_breakdown,29.077274199999998,28.5042774346148,857.9166996015853,2.0,12472.939557537162,18.709409336305743,18.340721715924506,37.05013105223025,491.5834938416535,454.5333627894232,target
2021-07-12 18:30:00+00:00,2021-07-13 12:00:00+00:00,SHORT,downtrend_breakdown,30.3778839,29.779257319866602,849.6145613478438,2.0,12904.746252187115,19.35711937828067,18.975667983812276,38.332787362092944,508.6018592911973,470.2690719291043,target
2021-08-25 00:00:00+00:00,2021-08-25 08:00:00+00:00,SHORT,downtrend_breakdown,70.4848482,69.0958737813708,378.847432078878,2.0,13351.501870519764,20.027252805779646,19.63259576198895,39.65984856776859,526.2093917209262,486.5495431531576,target
