group,trades,wins,losses,win_rate_pct,total_pnl_net,total_return_pct_on_initial,avg_pnl_net,median_pnl_net,profit_factor,avg_hold_minutes,total_fees,total_funding_est,liquidations
high,99,70,29,70.70707070707071,8540.357515373707,85.40357515373708,86.26623752902735,301.59749689982124,1.484851111199666,383.3333333333333,1988.0583087167254,-165.0240716615349,0
med,49,44,5,89.79591836734694,8750.905233122434,87.50905233122434,178.58990271678437,359.2834597458645,2.2551218617668773,647.7551020408164,938.8976579462261,-136.94904598436418,0
low,16,14,2,87.5,4440.369744982403,44.40369744982403,277.5231090614002,329.1675743199403,7.859044097609965,2559.375,303.5894572067038,-251.3893304393163,0
