group,trades,wins,losses,win_rate_pct,total_pnl_net,total_return_pct_on_initial,avg_pnl_net,median_pnl_net,profit_factor,avg_hold_minutes,total_fees,total_funding_est,liquidations
Friday,27,25,2,92.5925925925926,5599.552848974333,55.99552848974333,207.3908462583086,338.645778220207,2.61824035206085,2072.222222222222,525.0754707560018,-313.5717364367233,0
Tuesday,27,20,7,74.07407407407408,3640.558898515234,36.405588985152335,134.83551475982347,315.1760690867108,1.850510197653996,353.3333333333333,561.1335014683546,-35.38266600179459,0
Monday,26,20,6,76.92307692307693,2961.5862762886736,29.615862762886735,113.9071644726413,318.717740686594,1.7268569609946847,446.53846153846155,505.1872942556279,-51.161999981113205,0
Wednesday,26,18,8,69.23076923076923,2432.7688965066554,24.327688965066553,93.56803448102521,283.26850997802524,1.6711172047232485,387.6923076923077,476.89963445951344,-43.288538979255385,0
Thursday,22,18,4,81.81818181818183,1105.7817569371225,11.057817569371226,50.26280713350557,343.53627358887917,1.1935386316317538,462.27272727272725,445.1446568570739,-55.94642908540026,0
Sunday,19,16,3,84.21052631578947,4936.59092101245,49.3659092101245,259.82057479012894,340.4052787663257,5.1940760991245725,238.42105263157896,390.48560641901605,-17.24107679423049,0
Saturday,17,11,6,64.70588235294117,1054.7928952440739,10.547928952440738,62.04664089671023,266.05709475352273,1.3633193548425346,515.2941176470588,326.6192596540673,-36.77000080669812,0
