group,trades,wins,losses,win_rate_pct,total_pnl_net,total_return_pct_on_initial,avg_pnl_net,median_pnl_net,profit_factor,avg_hold_minutes,total_fees,total_funding_est,liquidations
2024-04,7,6,1,85.71428571428571,1660.548045696858,16.60548045696858,237.22114938526542,385.5044343855591,3.4185728987374433,197.14285714285714,143.13589892666545,-8.323008262844048,0
2024-12,7,4,3,57.14285714285714,-73.29071705574916,-0.7329071705574915,-10.470102436535594,449.1525497829097,0.9613201705750485,471.42857142857144,168.9703461355889,-17.207044644701668,0
2023-08,6,4,2,66.66666666666666,703.7796186629671,7.03779618662967,117.29660311049452,373.80449061983364,1.8692415196346581,360.0,119.29312098635879,-10.01656854667981,0
2025-03,5,5,0,100.0,2394.7077705158026,23.947077705158026,478.9415541031605,478.7045170001238,inf,612.0,124.7112410736791,-12.784008947694307,0
2025-02,5,4,1,80.0,1042.3849763046014,10.423849763046015,208.4769952609203,450.688926846975,2.340969863843391,738.0,120.17786873602559,-19.51865194485522,0
2023-04,5,4,1,80.0,1006.4522211121862,10.064522211121862,201.29044422243723,332.6384933495614,3.938151676933172,1572.0,88.22856325812526,-32.32314147869512,0
2022-02,5,3,2,60.0,223.024734779591,2.2302473477959097,44.6049469559182,252.29576262598823,1.41242887438999,516.0,67.1498404427689,-8.171018080598934,0
2023-05,5,2,3,40.0,-278.73998915039607,-2.7873998915039606,-55.747997830079214,-158.33075102521846,0.7097550301514336,582.0,90.80385610906472,-12.929715737321363,0
2026-01,4,4,0,100.0,2230.593767142752,22.305937671427518,557.648441785688,557.5591319642505,inf,97.5,116.16453600585606,0.0,0
2023-03,4,4,0,100.0,1272.3530089318892,12.723530089318894,318.0882522329723,318.03717471315974,inf,172.5,66.26141393174998,-1.6771800562605739,0
2022-09,4,4,0,100.0,1214.496460378004,12.14496460378004,303.624115094501,303.56826001594436,inf,225.0,63.24836905703427,-3.2563890753964557,0
2022-05,4,4,0,100.0,1113.1525571061045,11.131525571061045,278.2881392765261,278.2435702216084,inf,75.0,57.97059608285339,0.0,0
2025-11,4,3,1,75.0,927.9688723580388,9.279688723580387,231.9922180895097,542.0618924673481,2.301502896598005,187.5,115.62055815727918,-2.949888396652397,0
2023-07,4,3,1,75.0,799.817291589179,7.998172915891791,199.95432289729476,363.6386208051507,3.6560110549833005,675.0,76.71712500803606,-13.428131491638581,0
2024-10,4,3,1,75.0,647.775757162689,6.477757571626891,161.94393929067226,441.72061926275865,1.9480247741351344,412.5,93.41796788218426,-9.432919743177397,0
2022-04,4,3,1,75.0,445.45928650069885,4.454592865006989,111.36482162517471,262.0646578792154,2.292208403322958,187.5,55.391314873401484,-1.4029078671106416,0
2022-06,4,3,1,75.0,108.64236669605464,1.0864236669605465,27.16059167401366,293.5922720511436,1.1392601482454967,82.5,62.81938421645279,-1.5673836110646007,0
2024-06,4,2,2,50.0,-514.2125078370791,-5.142125078370792,-128.55312695926978,3.099570114189163,0.6166243665900543,802.5,88.52193991029625,-15.65290775149196,0
2025-06,4,3,1,75.0,-650.729339328122,-6.50729339328122,-162.6823348320305,491.34840464194235,0.6956709431315068,1732.5,106.14233343197328,-41.763059892882936,0
2024-01,4,3,1,75.0,-1607.2892912925208,-16.07289291292521,-401.8223228231302,367.1078405368904,0.41495137935740267,1192.5,82.46466876759564,-23.686001601858475,0
2025-09,3,3,0,100.0,1489.1796043545146,14.891796043545147,496.39320145150486,496.4467481049695,inf,1250.0,77.55327765970381,-18.02125920568614,0
2024-08,3,3,0,100.0,1283.7090801509669,12.837090801509667,427.90302671698896,427.8300819141492,inf,380.0,66.85281374799875,-4.528074640684993,0
2023-06,3,3,0,100.0,1058.7135922117018,10.587135922117017,352.9045307372339,352.8773045676313,inf,580.0,55.135531630172785,-5.497016550222839,0
2023-02,3,3,0,100.0,896.1651377940382,8.961651377940381,298.72171259801274,298.698988561326,inf,290.0,46.67035699190405,-1.5513208403055045,0
2022-01,3,3,0,100.0,748.6479625247365,7.486479625247365,249.54932084157883,249.5226751469376,inf,100.0,38.9879791109672,0.0,0
2021-12,3,3,0,100.0,709.3785881838019,7.093785881838019,236.45952939460062,236.4339541398876,inf,290.0,36.94291437674718,-3.7117409569696314,0
2025-05,3,2,1,66.66666666666666,584.306930517314,5.84306930517314,194.76897683910465,506.5655701117123,2.333971700293422,250.0,80.50943380119593,-2.65532902716502,0
2022-11,3,2,1,66.66666666666666,467.47510735491386,4.674751073549139,155.82503578497128,325.74168376968146,3.4618077041452175,20.0,51.636137150988134,0.0,0
2022-08,3,2,1,66.66666666666666,133.85537464897618,1.3385537464897619,44.61845821632539,292.95526444695344,1.2926252403772276,950.0,46.99015975072756,-7.8723022330172565,0
2023-09,3,1,2,33.33333333333333,-493.0104255868802,-4.930104255868803,-164.33680852896006,-304.8283876201163,0.4372310434467796,70.0,61.56944475779474,-2.054682664942239,0
2025-01,3,1,2,33.33333333333333,-683.0844232269858,-6.8308442322698575,-227.6948077423286,-438.3136635952677,0.39978683147720845,230.0,72.3094478425139,-2.4903751183456775,0
2022-12,3,1,2,33.33333333333333,-2737.880995542133,-27.37880995542133,-912.6269985140443,-573.3143292512904,0.10977532223009358,130.0,54.71773356785459,0.0,0
2025-10,2,2,0,100.0,1038.4201971536338,10.384201971536339,519.2100985768169,519.2100985768169,inf,17325.0,54.078695170020936,-216.94065143473168,0
2023-11,2,2,0,100.0,789.922381049571,7.899223810495709,394.9611905247855,394.9611905247855,inf,465.0,41.13746224298126,-4.288553134146568,0
2022-10,2,2,0,100.0,640.8086680826,6.408086680826,320.4043340413,320.4043340413,inf,585.0,33.37194010530106,-5.06841210283519,0
2021-11,2,2,0,100.0,452.08929952641324,4.520892995264132,226.04464976320662,226.04464976320662,inf,60.0,23.54384042773009,-2.348176546668342,0
2021-06,2,2,0,100.0,413.15503254741964,4.131550325474197,206.57751627370982,206.57751627370982,inf,75.0,21.516227365699375,-1.0847628464623398,0
2021-02,2,2,0,100.0,377.73394173700024,3.777339417370002,188.86697086850012,188.86697086850012,inf,60.0,19.67157297841294,0.0,0
2021-01,2,2,0,100.0,364.45145540250064,3.6445145540250063,182.22572770125032,182.22572770125032,inf,0.0,18.9798495975,0.0,0
2024-09,2,1,1,50.0,18.481850490545128,0.1848185049054513,9.240925245272564,9.240925245272564,1.0434842706281608,210.0,47.04881366346512,0.0,0
2024-11,2,1,1,50.0,13.676964294255697,0.13676964294255695,6.8384821471278485,6.8384821471278485,1.0314999467838974,330.0,47.50099106759185,-2.371542007147632,0
2025-07,2,1,1,50.0,-138.3457829633296,-1.3834578296332962,-69.1728914816648,-69.1728914816648,0.7841380064217557,690.0,53.52121580155201,-5.395731666181147,0
2025-08,2,1,1,50.0,-1359.8916964450204,-13.598916964450206,-679.9458482225102,-679.9458482225102,0.2733949561938873,915.0,54.97102202941285,-11.17883582510214,0
2025-04,1,1,0,100.0,505.3496392422604,5.053496392422605,505.3496392422604,505.3496392422604,inf,0.0,26.317524610722707,0.0,0
2024-05,1,1,0,100.0,414.1937151682654,4.1419371516826535,414.1937151682654,414.1937151682654,inf,450.0,21.57031972733209,-2.168184682427662,0
2024-07,1,1,0,100.0,412.70926580087365,4.127092658008737,412.70926580087365,412.70926580087365,inf,600.0,21.49301279026119,-4.327661771614144,0
2023-10,1,1,0,100.0,384.4831321088863,3.844831321088863,384.4831321088863,384.4831321088863,inf,0.0,20.023056327606305,0.0,0
2024-02,1,1,0,100.0,377.1706739889287,3.771706739889287,377.1706739889287,377.1706739889287,inf,1140.0,19.64223920300043,-4.017309086634116,0
