vol_bucket,adx_bucket,trades,total_pnl_net
low,low,6,1877.6069659557756
low,med,17,3490.2108442671747
low,high,40,-1720.1102398466928
med,low,8,1918.000564682292
med,med,16,4025.9181665588567
med,high,40,8022.890471789231
high,low,2,644.7622143443348
high,med,15,1050.9197668938998
high,high,18,2056.9822834311685
