entry_time,exit_time,type,signal_type,entry_price,exit_price,qty,leverage,initial_margin_used,entry_fee,exit_fee,fees_total,pnl_gross,pnl_net,exit_reason
2021-01-11 17:00:00+00:00,2021-01-11 17:00:00+00:00,SHORT,downtrend_breakdown,2.67693228,2.6236559737634395,3548.8383740510612,1.0,9500.0,4.75,4.655465499999999,9.405465499999998,189.06900000000155,179.66353450000156,target
2021-01-22 00:00:00+00:00,2021-01-22 00:00:00+00:00,SHORT,downtrend_breakdown,2.98100187,2.9216739707832597,3244.104089668015,1.0,9670.680357775002,4.835340178887501,4.73910723864728,9.574447417534781,192.46588048043907,182.8914330629043,target
2021-02-16 18:30:00+00:00,2021-02-16 20:30:00+00:00,SHORT,downtrend_breakdown,8.20497942,8.04168391958316,1199.8113237418404,1.0,9844.42721918476,4.922213609592379,4.824251714334272,9.746465323926651,195.92379051621523,186.17732519228858,target
2021-02-25 23:30:00+00:00,2021-02-25 23:30:00+00:00,SHORT,downtrend_breakdown,14.25697416,13.97323186026768,702.9048075456029,1.0,10021.295678117434,5.010647839058717,4.9109259257657705,9.921573764824487,199.44382658589382,189.52225282106932,target
2021-03-12 23:30:00+00:00,2021-03-13 01:00:00+00:00,SHORT,downtrend_breakdown,14.53694616,14.247631857523679,701.7527413266178,1.0,10201.34181829745,5.100670909148724,4.999157356714846,10.099828265863572,203.02710486775618,192.9272766018926,target
2021-04-03 16:00:00+00:00,2021-04-03 18:00:00+00:00,SHORT,downtrend_breakdown,21.03199659,20.613417793865818,493.70732424666306,1.0,10383.650760013841,5.191825380006921,5.088497671294022,10.280323051300943,206.65541742579595,196.375094374495,target
2021-05-23 16:30:00+00:00,2021-05-23 16:30:00+00:00,SHORT,downtrend_breakdown,20.5589439,20.1497797985022,514.1415410773902,1.0,10570.207099669611,5.285103549834806,5.1799194189859925,10.465022968820797,210.3682616976251,199.90323872880427,target
2021-06-11 23:30:00+00:00,2021-06-12 00:00:00+00:00,SHORT,downtrend_breakdown,35.891410500000006,35.177099648229,299.7963865605665,1.0,10760.115176461975,5.380057588230988,5.272983682110015,10.653041270341003,214.1478122419472,203.49477097160621,target
2021-06-23 16:00:00+00:00,2021-06-23 18:00:00+00:00,SHORT,downtrend_breakdown,29.083091399999997,28.504279714957196,376.5901390310887,1.0,10952.405433779859,5.476202716889929,5.367215330418386,10.843418047308315,217.9747729430872,207.13135489577888,target
2021-07-12 18:30:00+00:00,2021-07-13 12:00:00+00:00,SHORT,downtrend_breakdown,30.3839613,29.779259702207398,366.9429443662057,1.0,11149.180220930848,5.574590110465424,5.463644618086941,11.038234728552364,221.8909847569663,210.85275002841394,target
2021-08-25 00:00:00+00:00,2021-08-25 08:00:00+00:00,SHORT,downtrend_breakdown,70.4989494,69.0958793090412,160.95779624194097,1.0,11347.355532796108,5.673677766398054,5.5607602314912,11.234437997889254,225.83506981370914,214.6006318158199,target
2021-10-11 21:00:00+00:00,2021-10-12 12:30:00+00:00,SHORT,downtrend_breakdown,141.7218264,138.9012786109872,81.49865567881784,1.0,11550.138331946795,5.775069165973398,5.6601337394321956,11.435202905405593,229.87085308240566,218.43565017700007,target
2021-11-12 15:00:00+00:00,2021-11-12 16:30:00+00:00,SHORT,downtrend_breakdown,225.7004277,221.2085377879146,52.08417182320413,1.0,11755.41985689746,5.877709928448731,5.760731745452744,11.638441673901475,233.9563659919739,222.31792431807244,target
2021-11-18 15:30:00+00:00,2021-11-18 16:00:00+00:00,SHORT,downtrend_breakdown,199.2890691,195.3228180467718,60.04102714025936,1.0,11965.520406590123,5.9827602032950615,5.8636913097290835,11.846451513024146,238.13778713195697,226.2913356189328,target
2021-12-03 23:30:00+00:00,2021-12-04 00:00:00+00:00,SHORT,downtrend_breakdown,213.0546924,208.8144779118552,57.16547813196085,1.0,12179.373359303845,6.089686679651923,5.968489735353491,12.058176415005413,242.3938885968652,230.33571218185978,target
2021-12-13 15:30:00+00:00,2021-12-13 19:00:00+00:00,SHORT,downtrend_breakdown,157.804218,154.663598453364,78.55964469527282,1.0,12397.043297495376,6.198521648747688,6.075158670894312,12.273680319642,246.7259557067532,234.4522753871112,target
2021-12-28 19:00:00+00:00,2021-12-29 05:30:00+00:00,SHORT,downtrend_breakdown,179.072091,175.508198244918,70.46655406393259,1.0,12618.593181792956,6.309296590896478,6.183728970144456,12.493025561040934,251.13524150404402,238.6422159430031,target
2022-01-05 22:00:00+00:00,2022-01-05 22:00:00+00:00,SHORT,downtrend_breakdown,153.38466,150.33199849668,83.7379499750788,1.0,12844.11698602447,6.422058493012235,6.294246684884306,12.71630517789654,255.62361625585868,242.90731107796213,target
2022-01-17 16:30:00+00:00,2022-01-17 21:00:00+00:00,SHORT,downtrend_breakdown,140.835915,138.03299861967,92.83767518781364,1.0,13074.878931548532,6.537439465774266,6.407331345526426,12.944770811300693,260.2162404956792,247.2714696843785,target
2022-01-22 15:00:00+00:00,2022-01-22 15:30:00+00:00,SHORT,downtrend_breakdown,96.040395,94.12899905871001,138.58529869383287,1.0,13309.786827748694,6.654893413874348,6.52244772515142,13.177341139025767,264.8913774458539,251.71403630682815,target
2022-02-08 19:30:00+00:00,2022-02-08 20:30:00+00:00,SHORT,downtrend_breakdown,110.448954,113.201319,122.67128543598685,1.0,13548.91516224018,6.774457581120091,6.9432756573896,13.717733238509691,-337.63615253901963,-351.35388577752934,stop_loss
2022-02-11 23:30:00+00:00,2022-02-12 06:30:00+00:00,SHORT,downtrend_breakdown,96.66033300000001,94.736599052634,136.71718853639297,1.0,13215.128970751528,6.6075644853757645,6.476060736987815,13.08362522236358,263.00749677589727,249.9238715535337,target
2022-02-12 15:00:00+00:00,2022-02-12 16:00:00+00:00,SHORT,downtrend_breakdown,94.570542,95.82958199999999,142.23566513246928,1.0,13451.303943308123,6.725651971654061,6.815192167568251,13.540844139222312,-179.08039182838192,-192.62123596760424,stop_loss
2022-02-17 19:30:00+00:00,2022-02-17 21:00:00+00:00,SHORT,downtrend_breakdown,94.260573,92.38459907615399,140.74845866371768,1.0,13267.030362508842,6.633515181254421,6.501494962117095,13.135010143371517,264.0404382746516,250.90542813128005,target
2022-02-18 18:30:00+00:00,2022-02-20 03:00:00+00:00,SHORT,downtrend_breakdown,90.00099900000001,88.20979911790201,150.05822901180858,1.0,13505.390519233557,6.752695259616779,6.618303118559885,13.370998378176663,268.78428211378605,255.4132837356094,target
2022-04-06 15:30:00+00:00,2022-04-06 23:30:00+00:00,SHORT,downtrend_breakdown,115.858413,113.55259886447399,118.61756998558725,1.0,13742.843412446571,6.871421706223286,6.73466667142603,13.606088377649316,273.5100695945124,259.9039812168631,target
2022-04-11 16:00:00+00:00,2022-04-11 17:00:00+00:00,SHORT,downtrend_breakdown,101.349864,103.750374,138.0211729913856,1.0,13988.427111797404,6.994213555898702,7.159874158887478,14.15408771478618,-331.3212059775507,-345.47529369233683,stop_loss
2022-04-26 19:30:00+00:00,2022-04-26 23:00:00+00:00,SHORT,downtrend_breakdown,96.600339,94.67779905322199,141.40970646893572,1.0,13660.225582789684,6.830112791394842,6.694179886620501,13.524292678015343,271.8658095486826,258.34151687066725,target
2022-04-30 23:00:00+00:00,2022-04-30 23:00:00+00:00,SHORT,downtrend_breakdown,85.31146799999999,83.613599163864,162.99860206152846,1.0,13905.650023816817,6.952825011908409,6.814449888521408,13.767274900429818,276.75024677400165,262.98297187357184,target
2022-05-05 17:30:00+00:00,2022-05-05 17:30:00+00:00,SHORT,downtrend_breakdown,84.941505,83.25099916749001,166.6497885467971,1.0,14155.48384709671,7.077741923548355,6.936880703785896,14.014622627334251,281.7224395249185,267.7078168975843,target
2022-05-09 20:00:00+00:00,2022-05-09 23:30:00+00:00,SHORT,downtrend_breakdown,65.063493,63.76859936231399,221.47298905623492,1.0,14409.806273149416,7.204903136574708,7.061511154350598,14.266414290925306,286.7839644482201,272.51755015729475,target
2022-05-11 20:00:00+00:00,2022-05-11 20:30:00+00:00,SHORT,downtrend_breakdown,47.79522,46.84399953156,306.9072167844158,1.0,14668.697945798847,7.334348972899424,7.18838075964078,14.522729732540203,291.93642651728834,277.41369678474814,target
2022-05-18 17:00:00+00:00,2022-05-18 18:00:00+00:00,SHORT,downtrend_breakdown,51.09489,50.07799949922,292.2452902383068,1.0,14932.240957744358,7.466120478872179,7.3175297491016655,14.783650227973844,297.1814595410284,282.39780931305455,target
2022-06-01 19:00:00+00:00,2022-06-01 20:00:00+00:00,SHORT,downtrend_breakdown,41.145885,40.326999596730005,369.4298682989018,1.0,15200.51887659176,7.60025943829588,7.448999074954917,15.049258513250797,302.52072668192733,287.4714681686765,target
2022-06-06 15:30:00+00:00,2022-06-06 17:00:00+00:00,SHORT,downtrend_breakdown,42.555744000000004,41.708799582912,363.60818345349577,1.0,15473.616771352003,7.736808385676001,7.5828304251842775,15.31963881086028,307.95592098344895,292.63628217258866,target
2022-06-11 15:00:00+00:00,2022-06-11 15:30:00+00:00,SHORT,downtrend_breakdown,33.956604,33.280799667192,463.83149690452757,1.0,15750.142463114267,7.875071231557134,7.718341563906685,15.593412795463818,313.4593353008998,297.865922505436,target
2022-06-29 17:30:00+00:00,2022-06-29 20:00:00+00:00,SHORT,downtrend_breakdown,33.416658000000005,35.0035,479.79409220079486,1.0,16033.115089494431,8.016557544747215,8.397236253175263,16.41379379792248,-761.3574168560924,-777.7712106540149,stop_loss
2022-08-17 19:30:00+00:00,2022-08-18 23:00:00+00:00,SHORT,downtrend_breakdown,40.805919,39.993799600062005,374.80426404250613,1.0,15294.232439373118,7.647116219686559,7.494923312682358,15.142039532368917,304.38581400840314,289.2437744760342,target
2022-08-26 18:30:00+00:00,2022-08-26 22:30:00+00:00,SHORT,downtrend_breakdown,32.596740000000004,31.947999680520006,477.49101475123894,1.0,15564.650460182302,7.782325230091151,7.627441393361877,15.409766623453027,309.7676734585472,294.3579068350942,target
2022-08-27 18:30:00+00:00,2022-08-28 10:30:00+00:00,SHORT,downtrend_breakdown,31.136886,32.0032,508.8591862293371,1.0,15844.29047167564,7.92214523583782,8.142561154367362,16.06470639020518,-440.8318370590815,-456.8965434492867,stop_loss
