entry_time,exit_time,type,signal_type,entry_price,exit_price,qty,leverage,initial_margin_used,entry_fee,exit_fee,fees_total,pnl_gross,pnl_net,exit_reason
2021-01-11 17:00:00+00:00,2021-01-11 17:00:00+00:00,SHORT,downtrend_breakdown,2.6772,2.623656,7096.966980427312,2.0,9500.0,9.5,9.31,18.810000000000002,380.0000000000002,361.1900000000002,target
2021-01-22 00:00:00+00:00,2021-01-22 00:00:00+00:00,SHORT,downtrend_breakdown,2.9813,2.921674,6603.247241136416,2.0,9843.1305,9.8431305,9.646267889999997,19.489398389999998,393.7252200000011,374.23582161000115,target
2021-02-16 18:30:00+00:00,2021-02-16 20:30:00+00:00,SHORT,downtrend_breakdown,8.2058,8.041684,2485.718523612445,2.0,10198.6545305295,10.1986545305295,9.994681439918912,20.193335970448413,407.94618122117987,387.75284525073147,target
2021-02-25 23:30:00+00:00,2021-02-25 23:30:00+00:00,SHORT,downtrend_breakdown,14.2584,13.973232,1482.2167611397765,2.0,10567.019733517694,10.567019733517695,10.35567933884734,20.922699072365035,422.6807893407086,401.7580902683436,target
2021-03-12 23:30:00+00:00,2021-03-13 01:00:00+00:00,SHORT,downtrend_breakdown,14.5384,14.247632,1506.1753589490759,2.0,10948.689919272621,10.948689919272622,10.72971612088717,21.678406040159793,437.94759677090474,416.2691907307449,target
2021-04-03 16:00:00+00:00,2021-04-03 18:00:00+00:00,SHORT,downtrend_breakdown,21.0341,20.613418,1078.8416710695342,2.0,11346.231796721844,11.346231796721844,11.119307160787407,22.465538957509253,453.8492718688731,431.38373291136384,target
2021-05-23 16:30:00+00:00,2021-05-23 16:30:00+00:00,SHORT,downtrend_breakdown,20.561,20.14978,1143.5286555116618,2.0,11756.046342987638,11.756046342987638,11.520925416127886,23.276971759115526,470.24185371950574,446.9648819603902,target
2021-06-11 23:30:00+00:00,2021-06-12 00:00:00+00:00,SHORT,downtrend_breakdown,35.895,35.1771,678.682990993175,2.0,12180.662980850011,12.18066298085001,11.937049721233011,24.117712702083022,487.22651923400053,463.10880653191754,target
2021-06-23 16:00:00+00:00,2021-06-23 18:00:00+00:00,SHORT,downtrend_breakdown,29.086,28.504279999999998,867.974115756126,2.0,12622.94756544134,12.62294756544134,12.370488614132514,24.993436179573855,504.91790261765425,479.9244664380804,target
2021-07-12 18:30:00+00:00,2021-07-13 12:00:00+00:00,SHORT,downtrend_breakdown,30.387,29.77926,860.8204698428615,2.0,13078.875808557515,13.078875808557516,12.817298292386365,25.89617410094388,523.1550323423004,497.2588582413565,target
2021-08-25 00:00:00+00:00,2021-08-25 08:00:00+00:00,SHORT,downtrend_breakdown,70.506,69.09588,384.5425865945098,2.0,13556.279805216254,13.556279805216255,13.285154209111928,26.841434014328183,542.2511922086526,515.4097581943244,target
2021-10-11 21:00:00+00:00,2021-10-12 12:30:00+00:00,SHORT,downtrend_breakdown,141.736,138.90127999999999,198.23499928971955,2.0,14048.517929663843,14.048517929663843,13.767547571070567,27.81606550073441,561.9407171865547,534.1246516858203,target
2021-11-12 15:00:00+00:00,2021-11-12 16:30:00+00:00,SHORT,downtrend_breakdown,225.723,221.20854,129.01978296716345,2.0,14561.366235348518,14.561366235348519,14.270138910641549,28.831505145990068,582.4546494139425,553.6231442679525,target
2021-11-18 15:30:00+00:00,2021-11-18 16:00:00+00:00,SHORT,downtrend_breakdown,199.309,195.32282,151.4235357016407,2.0,15090.036738579152,15.090036738579153,14.788236003807572,29.878272742386727,603.6014695431646,573.7231968007779,target
2021-12-03 23:30:00+00:00,2021-12-04 00:00:00+00:00,SHORT,downtrend_breakdown,213.076,208.81448,146.78244420795096,2.0,15637.90804102668,15.63790804102668,15.325149880206146,30.963057921232824,625.5163216410657,594.5532637198329,target
2021-12-13 15:30:00+00:00,2021-12-13 19:00:00+00:00,SHORT,downtrend_breakdown,157.82,154.6636,205.36920379942575,2.0,16205.683871812686,16.205683871812685,15.881570194376433,32.08725406618912,648.2273548725055,616.1401008063165,target
2021-12-28 19:00:00+00:00,2021-12-29 05:30:00+00:00,SHORT,downtrend_breakdown,179.09,175.5082,187.54928940905316,2.0,16794.101120133666,16.794101120133668,16.458219097730993,33.252320217864664,671.7640448053495,638.5117245874849,target
2022-01-05 22:00:00+00:00,2022-01-05 22:00:00+00:00,SHORT,downtrend_breakdown,153.4,150.332,226.90801357759472,2.0,17403.844641401516,17.403844641401516,17.055767748573484,34.459612389975,696.1537856560633,661.6941732660883,target
2022-01-17 16:30:00+00:00,2022-01-17 21:00:00+00:00,SHORT,downtrend_breakdown,140.85,138.033,256.05188648923394,2.0,18032.4541060043,18.0324541060043,17.67180502388421,35.70425912988851,721.2981642401738,685.5939051102854,target
2022-01-22 15:00:00+00:00,2022-01-22 15:30:00+00:00,SHORT,downtrend_breakdown,96.05,94.12899999999999,389.0425469205429,2.0,18683.768315859073,18.683768315859073,18.31009294954189,36.993861265400966,747.3507326343655,710.3568713689646,target
2022-02-08 19:30:00+00:00,2022-02-08 20:30:00+00:00,SHORT,downtrend_breakdown,110.46,113.19,350.50891442439956,2.0,19358.607343659587,19.35860734365959,19.837052011848893,39.19565935550848,-956.8893363786123,-996.0849957341208,stop_loss
2022-02-11 23:30:00+00:00,2022-02-12 06:30:00+00:00,SHORT,downtrend_breakdown,96.67,94.7366,380.9315526577464,2.0,18412.326597712174,18.412326597712173,18.044080065757928,36.456406663470105,736.4930639084891,700.036657245019,target
2022-02-12 15:00:00+00:00,2022-02-12 16:00:00+00:00,SHORT,downtrend_breakdown,94.58,95.82,403.4859759500752,2.0,19080.851802679055,19.080851802679057,19.331013107768104,38.411864910447164,-500.3226101780912,-538.7344750885384,stop_loss
2022-02-17 19:30:00+00:00,2022-02-17 21:00:00+00:00,SHORT,downtrend_breakdown,94.27,92.38459999999999,394.03192416791217,2.0,18572.69474565454,18.572694745654537,18.20124085074145,36.77393559639599,742.9077898261833,706.1338542297873,target
2022-02-18 18:30:00+00:00,2022-02-20 03:00:00+00:00,SHORT,downtrend_breakdown,90.01,88.2098,427.5863105693331,2.0,19243.521907172835,19.243521907172834,18.85865146902938,38.10217337620222,769.7408762869151,731.6387029107128,target
2022-04-06 15:30:00+00:00,2022-04-06 23:30:00+00:00,SHORT,downtrend_breakdown,115.87,113.5526,344.40953897630925,2.0,19953.366640592478,19.953366640592478,19.554299307780628,39.5076659483731,798.1346656237013,758.6269996753282,target
2022-04-11 16:00:00+00:00,2022-04-11 17:00:00+00:00,SHORT,downtrend_breakdown,101.36,103.74,408.00926808335475,2.0,20677.90970646442,20.67790970646442,21.16344073548361,41.84135044194803,-971.0620580383825,-1012.9034084803305,stop_loss
2022-04-26 19:30:00+00:00,2022-04-26 23:00:00+00:00,SHORT,downtrend_breakdown,96.61,94.67779999999999,408.14929030965953,2.0,19715.651468408105,19.715651468408105,19.32133843903994,39.036989907448046,788.6260587363278,749.5890688288798,target
2022-04-30 23:00:00+00:00,2022-04-30 23:00:00+00:00,SHORT,downtrend_breakdown,85.32,83.61359999999999,478.85047078751865,2.0,20427.761083795544,20.427761083795545,20.019205862119634,40.44696694591518,817.1104433518228,776.6634764059077,target
2022-05-05 17:30:00+00:00,2022-05-05 17:30:00+00:00,SHORT,downtrend_breakdown,84.95,83.251,498.3070367600036,2.0,21165.591386381155,21.165591386381156,20.742279558653532,41.90787094503469,846.6236554552452,804.7157845102105,target
2022-05-09 20:00:00+00:00,2022-05-09 23:30:00+00:00,SHORT,downtrend_breakdown,65.07,63.76859999999999,674.0455319399373,2.0,21930.071381665857,21.930071381665858,21.49146995403254,43.42154133569839,877.2028552666351,833.7813139309367,target
2022-05-11 20:00:00+00:00,2022-05-11 20:30:00+00:00,SHORT,downtrend_breakdown,47.8,46.843999999999994,950.7181435104706,2.0,22722.163629900246,22.722163629900248,22.267720357302238,44.98988398720249,908.8865451960128,863.8966612088103,target
2022-05-18 17:00:00+00:00,2022-05-18 18:00:00+00:00,SHORT,downtrend_breakdown,51.1,50.078,921.4428750703959,2.0,23542.865458048615,23.542865458048617,23.072008148887644,46.61487360693626,941.7146183219431,895.0997447150069,target
2022-06-01 19:00:00+00:00,2022-06-01 20:00:00+00:00,SHORT,downtrend_breakdown,41.15,40.327,1185.5752231119257,2.0,24393.21021552787,24.39321021552787,23.90534601121731,48.29855622674518,975.7284086211152,927.4298523943701,target
