entry_time,exit_time,type,signal_type,entry_price,exit_price,target_price,stop_loss,position,pnl,gross_pnl,entry_fee,exit_fee,total_fees,return,exit_reason
2021-01-11 17:00:00+00:00,2021-01-11 17:00:00+00:00,SHORT,downtrend_breakdown,2.6758614,2.623655344086,2.622344172,2.9562,3548.483490213656,180.59732866375023,185.25232750000023,4.75,4.65499883625,9.40499883625,1.9019755000000023,target
2021-01-22 00:00:00+00:00,2021-01-22 00:00:00+00:00,SHORT,downtrend_breakdown,2.97980935,2.9216732695815,2.920213163,3.444,3242.56363406251,183.7730844446831,188.50994019196185,4.833527481115281,4.736855747278742,9.570383228394023,1.9019755000000014,target
2021-02-16 18:30:00+00:00,2021-02-16 20:30:00+00:00,SHORT,downtrend_breakdown,8.2016971,8.041681989579,8.037663158,8.643,1198.7920180050635,187.00468504267235,191.82483713289355,4.918523770672976,4.8201520902211925,9.738675860894169,1.9019754999999985,target
2021-02-25 23:30:00+00:00,2021-02-25 23:30:00+00:00,SHORT,downtrend_breakdown,14.2512708,13.973228506692,13.966245384,16.2987,702.044366447452,190.29311247390925,195.19802565101227,5.005014697277176,4.9049131771030305,9.909927874380205,1.9019755000000076,target
2021-03-12 23:30:00+00:00,2021-03-13 01:00:00+00:00,SHORT,downtrend_breakdown,14.5311308,14.247628438091999,14.240508184,15.3048,700.6309557751988,193.6393660230738,198.63053078812894,5.093026543721075,4.99116476505515,10.084191308776226,1.9019755000000058,target
2021-04-03 16:00:00+00:00,2021-04-03 18:00:00+00:00,SHORT,downtrend_breakdown,21.02358295,20.6134128466455,20.603111291,22.3316,492.77944432837785,197.04446254700443,202.12339561114513,5.1825860549737675,5.078933064140707,10.261519119114475,1.9019755000000125,target
2021-05-23 16:30:00+00:00,2021-05-23 16:30:00+00:00,SHORT,downtrend_breakdown,20.5507195,20.149774962554996,20.139705109999998,23.496,512.9828749873528,200.50943678369225,205.67768152901206,5.273720446307482,5.1682447453198215,10.441965191627304,1.9019755000000156,target
2021-06-11 23:30:00+00:00,2021-06-12 00:00:00+00:00,SHORT,downtrend_breakdown,35.877052500000005,35.177091205725,35.159511450000004,39.998,299.0086313730457,204.03534166672097,209.2944686152753,5.366457411567739,5.259126948554317,10.625584360122055,1.901975500000017,target
2021-06-23 16:00:00+00:00,2021-06-23 18:00:00+00:00,SHORT,downtrend_breakdown,29.071457,28.504272873929995,28.490027859999998,32.435,375.4950925936146,207.62324864522932,212.9748559362843,5.460825131588937,5.351607291055,10.812432422643937,1.901975500000012,target
2021-07-12 18:30:00+00:00,2021-07-13 12:00:00+00:00,SHORT,downtrend_breakdown,30.3718065,29.779252555185,29.76437037,31.677,365.7387884791467,211.274248009504,216.71996188517795,5.556852282757916,5.445713875673948,11.002566158431865,1.9019755000000063,target
2021-08-25 00:00:00+00:00,2021-08-25 08:00:00+00:00,SHORT,downtrend_breakdown,70.470747,69.09586272602999,69.06133206,75.807,160.39962686092304,214.98944922229643,220.53092452174081,5.654568045728119,5.541475299444385,11.196043345172505,1.9019755000000151,target
